id,name,category,serving_size,calories,carbohydrates,protein,fat,fiber,sugar,sodium,potassium,glycemic_index,diabetes_rating,notes
52,Roti Jala,Bread,5 pieces,360,52,10,12,2,4,480,170,68,Limit,Net crepe often eaten with curry.
53,Capati,Bread,1 piece,180,30,6,4,4,1,250,170,58,Moderate,Whole wheat flatbread option.
54,Thosai Plain,Bread,1 piece,170,28,5,4,3,1,320,160,55,Moderate,Fermented rice-lentil crepe.
55,Thosai Masala,Bread,1 piece,330,52,9,10,5,3,580,420,60,Moderate,Thosai filled with potato masala.
56,Idli,Bread,3 pieces,210,42,7,2,3,1,360,170,65,Moderate,Steamed rice-lentil cakes.
57,Appam,Bread,1 piece,220,38,5,5,2,8,260,160,67,Moderate,Fermented rice pancake.
58,Naan Plain,Bread,1 piece,310,52,9,8,3,4,520,180,70,Limit,Refined flour bread.
59,Garlic Naan,Bread,1 piece,360,54,10,11,3,4,650,200,70,Limit,Refined flour bread with garlic butter.
60,Tosai Rava,Bread,1 piece,260,42,7,7,3,2,420,180,64,Moderate,Semolina-based thosai.
61,Kaya Toast,Bread,2 slices,340,52,7,12,2,22,380,150,72,Limit,"Toast with kaya and butter, high sugar."
62,Half Boiled Eggs,Protein,2 eggs,150,1,13,10,0,1,140,130,0,Suitable,Low carbohydrate protein option.
63,Peanut Butter Toast,Bread,2 slices,390,42,14,18,5,8,420,300,62,Moderate,Contains protein and fat but still bread-based.
64,Wholemeal Toast,Bread,2 slices,190,32,8,3,5,4,310,190,55,Moderate,Higher fiber bread option.
65,White Bread Toast,Bread,2 slices,180,34,6,2,1,4,300,90,75,Limit,Refined bread with high glycemic response.
66,Ayam Goreng Berempah,Protein,1 piece,380,10,28,26,1,2,620,310,25,Moderate,"Fried chicken, low carb but high fat."
67,Ayam Masak Merah,Protein,1 serving,420,18,30,25,2,10,780,470,35,Moderate,Chicken in sweet red sauce.
68,Ayam Percik,Protein,1 piece,360,12,30,22,2,7,650,430,30,Moderate,Grilled chicken with coconut-based sauce.
69,Ayam Rendang,Protein,1 serving,440,14,31,29,3,5,700,490,30,Moderate,Coconut-rich chicken dish.
70,Beef Rendang,Protein,1 serving,480,12,34,32,3,4,760,540,25,Moderate,"High protein and fat, low carbohydrate."
71,Daging Masak Kicap,Protein,1 serving,420,16,32,24,2,9,900,520,35,Moderate,"Soy sauce beef dish, can be salty."
72,Daging Salai Lemak,Protein,1 serving,520,10,33,39,2,3,820,530,20,Limit,"Smoked beef in coconut gravy, high fat."
73,Ikan Bakar,Protein,1 fish,280,4,36,12,1,2,430,620,10,Suitable,"Grilled fish, lower carbohydrate choice."
74,Ikan Goreng,Protein,1 fish,350,8,32,21,1,1,470,560,20,Moderate,"Fried fish, protein rich but higher fat."
75,Ikan Masak Asam Pedas,Protein,1 serving,300,12,32,13,3,5,650,620,30,Moderate,Fish in spicy sour gravy.
76,Ikan Singgang,Protein,1 bowl,210,6,30,7,1,2,520,570,15,Suitable,"Clear fish soup, lower fat."
77,Sambal Sotong,Protein,1 serving,330,14,28,18,2,8,860,420,35,Moderate,"Squid sambal, can be sweet and salty."
78,Sambal Udang,Protein,1 serving,310,13,30,15,2,8,820,390,35,Moderate,Prawn sambal.
79,Telur Dadar,Protein,1 egg portion,220,3,12,18,0,1,360,140,5,Suitable,Low carbohydrate egg dish.
80,Telur Mata,Protein,1 egg,120,1,7,10,0,0,120,70,0,Suitable,Low carbohydrate fried egg.
81,Telur Rebus,Protein,1 egg,75,1,6,5,0,0,70,65,0,Suitable,Simple low carbohydrate protein option.
82,Tofu Goreng,Protein,1 serving,260,10,16,18,3,2,420,300,25,Moderate,Plant protein but fried.
83,Tempeh Goreng,Protein,1 serving,320,16,22,20,7,2,380,430,30,Moderate,"Fermented soybean, higher fiber protein."
84,Tauhu Sumbat,Protein,2 pieces,280,22,14,15,5,7,460,310,45,Moderate,Stuffed tofu with vegetables and sauce.
85,Chicken Satay,Protein,6 sticks,360,18,32,18,2,10,720,430,38,Moderate,"Grilled skewers, sauce may add sugar."
86,Beef Satay,Protein,6 sticks,400,16,34,23,2,8,740,460,35,Moderate,Grilled beef skewers.
87,Mutton Curry,Protein,1 serving,520,12,32,38,2,3,880,520,25,Limit,High fat curry dish.
88,Chicken Curry,Protein,1 serving,430,14,30,28,3,4,790,460,30,Moderate,Curry chicken with gravy.
89,Fish Curry,Protein,1 serving,360,12,31,20,3,4,760,550,30,Moderate,Fish curry with spices.
90,Dal Curry,Legume,1 bowl,220,28,12,7,8,4,560,500,45,Moderate,"Lentil curry, higher fiber but contains carbs."
91,Chickpea Curry,Legume,1 bowl,300,40,14,9,10,6,620,580,45,Moderate,Legume dish with fiber and protein.
92,Mutton Soup,Protein,1 bowl,390,10,28,26,2,3,920,430,25,Moderate,Soup can be high in sodium.
93,Sup Ayam,Protein,1 bowl,260,12,25,12,2,3,780,420,30,Moderate,"Chicken soup, lower carb if eaten without rice."
94,Sup Tulang,Protein,1 bowl,460,14,30,32,2,4,1100,450,30,Limit,"Rich soup, usually high sodium."
95,Kerabu Ayam,Protein,1 serving,250,10,28,9,4,5,520,500,25,Suitable,Chicken salad-style dish.
96,Otak-Otak,Protein,3 pieces,180,12,14,9,2,4,450,250,35,Moderate,Spiced fish cake.
97,Fish Ball Soup,Protein,1 bowl,280,20,18,12,2,4,900,290,45,Moderate,Processed fish balls may be high sodium.
98,Chicken Chop Grilled,Protein,1 serving,520,28,38,28,4,8,920,600,45,Moderate,Grilled chicken with sauce and sides.
99,Chicken Chop Fried,Protein,1 serving,720,42,38,44,4,8,1100,610,55,Limit,"Fried chicken chop, high calories and fat."
100,Black Pepper Beef,Protein,1 serving,430,18,34,24,3,7,900,560,35,Moderate,Beef stir-fry with sauce.
101,Sweet Sour Fish,Protein,1 serving,480,32,30,24,3,18,850,510,55,Limit,Sauce can be high sugar.
102,Kam Heong Chicken,Protein,1 serving,500,20,32,32,3,7,980,490,35,Moderate,Spicy fragrant chicken dish.
103,Kangkung Belacan,Vegetable,1 serving,160,12,5,10,5,3,620,480,20,Suitable,"Leafy vegetable dish, sodium can be high."
104,Sawi Goreng,Vegetable,1 serving,120,10,4,7,4,3,430,420,20,Suitable,Stir-fried mustard greens.
105,Bayam Goreng,Vegetable,1 serving,110,9,5,6,4,2,380,500,20,Suitable,"Spinach dish, low carbohydrate."
106,Taugeh Goreng,Vegetable,1 serving,130,12,6,6,4,4,420,300,25,Suitable,Bean sprouts stir-fry.
107,Cabbage Stir Fry,Vegetable,1 serving,115,13,4,5,5,5,360,320,25,Suitable,Low calorie vegetable option.
108,Mixed Vegetables,Vegetable,1 serving,150,20,5,5,6,6,410,430,35,Suitable,Mixed vegetables with moderate carbohydrates.
109,Acar Timun,Vegetable,1 serving,90,15,2,2,3,9,380,210,30,Moderate,"Pickled cucumber, sugar may be added."
110,Ulam with Sambal,Vegetable,1 serving,100,12,3,5,5,5,430,390,25,Suitable,Raw herbs and vegetables with sambal.
111,Terung Sambal,Vegetable,1 serving,210,18,4,14,6,8,550,450,30,Moderate,"Eggplant with sambal, can absorb oil."
112,Bendi Rebus,Vegetable,1 serving,70,12,3,1,5,3,120,350,20,Suitable,"Boiled okra, high fiber vegetable."
113,Petola Soup,Vegetable,1 bowl,95,12,4,3,4,4,320,380,20,Suitable,Light vegetable soup.
114,Pumpkin Masak Lemak,Vegetable,1 serving,220,25,4,12,5,8,480,500,60,Moderate,Pumpkin with coconut gravy.
115,Long Bean Sambal,Vegetable,1 serving,170,16,5,10,5,6,520,390,30,Moderate,Long beans cooked with sambal.
116,Four Angle Bean Salad,Vegetable,1 serving,130,14,5,6,6,5,390,430,25,Suitable,Winged bean salad-style dish.
117,Cucumber Slices,Vegetable,1 plate,30,6,1,0,2,3,10,150,15,Suitable,Very low calorie vegetable side.
118,Lettuce Salad,Vegetable,1 bowl,60,8,2,2,3,3,80,220,15,Suitable,Low carbohydrate salad.
119,Tomato Salad,Vegetable,1 bowl,80,14,3,1,4,8,70,410,20,Suitable,Low calorie vegetable-fruit salad.
120,Mushroom Stir Fry,Vegetable,1 serving,150,14,7,7,4,4,420,500,25,Suitable,Mushrooms with light sauce.
121,Broccoli Stir Fry,Vegetable,1 serving,130,14,6,5,6,3,330,480,15,Suitable,High fiber vegetable option.
122,Cauliflower Stir Fry,Vegetable,1 serving,120,13,5,5,5,3,310,420,15,Suitable,Lower carbohydrate vegetable option.
123,Kailan Ikan Masin,Vegetable,1 serving,180,12,7,11,4,3,850,450,20,Moderate,Leafy vegetable but high sodium due to salted fish.
124,Brinjal Curry,Vegetable,1 serving,210,18,5,13,6,6,540,430,30,Moderate,Vegetable curry with oil/coconut.
125,Sayur Lodeh,Vegetable,1 bowl,260,24,7,15,6,7,650,520,45,Moderate,Mixed vegetables in coconut gravy.
126,Pegaga Salad,Vegetable,1 serving,80,10,3,3,4,4,260,380,20,Suitable,Herbal salad with low calories.
127,Kerabu Mangga,Vegetable,1 serving,170,28,4,4,5,18,520,360,50,Moderate,Mango salad contains natural sugar.
128,Kuih Lapis,Snack,2 pieces,260,44,3,8,1,22,180,90,75,Limit,"Sweet kuih, high sugar and refined starch."
129,Kuih Seri Muka,Snack,1 piece,240,38,4,8,1,18,160,100,74,Limit,Glutinous rice and pandan custard dessert.
130,Kuih Ketayap,Snack,1 piece,190,32,3,6,2,18,120,120,70,Limit,Sweet coconut-filled crepe.
131,Ondeh-Ondeh,Snack,5 pieces,210,38,3,5,2,20,100,110,72,Limit,Sweet glutinous rice balls with palm sugar.
132,Kuih Talam,Snack,1 piece,220,36,3,7,1,16,150,90,73,Limit,Starchy sweet kuih.
133,Kuih Kosui,Snack,3 pieces,200,38,2,4,1,21,90,80,74,Limit,Palm sugar rice flour dessert.
134,Kuih Bahulu,Snack,5 pieces,180,34,5,3,1,18,110,80,72,Limit,Sweet sponge cake snack.
135,Kuih Keria,Snack,2 pieces,280,48,4,9,3,23,160,250,70,Limit,Sweet potato doughnut with sugar coating.
136,Cucur Badak,Snack,2 pieces,260,38,6,10,3,6,380,250,65,Limit,Fried sweet potato snack.
137,Cucur Udang,Snack,3 pieces,340,42,12,14,3,5,620,260,68,Limit,Fried prawn fritters.
138,Cekodok Pisang,Snack,5 pieces,330,52,5,12,4,22,240,330,70,Limit,Fried banana balls.
139,Pisang Goreng,Snack,3 pieces,360,56,4,14,4,24,220,360,72,Limit,"Fried banana, high carbs and fat."
140,Keropok Lekor Fried,Snack,5 pieces,300,38,13,11,2,4,780,220,65,Limit,Fried fish cracker snack.
141,Keropok Lekor Boiled,Snack,5 pieces,230,36,13,4,2,3,720,210,62,Moderate,"Boiled fish cracker, less fat."
142,Popiah Basah,Snack,1 roll,210,34,7,6,4,9,430,260,60,Moderate,Fresh spring roll with sweet sauce.
143,Popiah Goreng,Snack,2 rolls,300,38,8,13,4,7,540,240,65,Limit,Fried spring roll.
144,Samosa,Snack,2 pieces,280,34,7,13,3,4,480,260,65,Limit,Fried pastry snack.
145,Curry Puff,Snack,2 pieces,320,40,7,15,3,5,520,260,68,Limit,Fried pastry with potato filling.
146,Apam Balik,Snack,1 piece,390,62,10,12,3,24,360,260,72,Limit,Sweet pancake with peanuts and sugar.
147,Murtabak Ayam,Snack,1 piece,620,58,28,30,4,6,920,430,68,Limit,Stuffed pan-fried bread.
148,Murtabak Daging,Snack,1 piece,680,60,32,34,4,5,980,460,68,Limit,Stuffed bread with minced beef.
149,Burger Ramly Chicken,Fast Food,1 burger,540,48,24,30,3,9,980,370,65,Limit,"Processed burger, high sodium and fat."
150,Burger Ramly Special,Fast Food,1 burger,700,56,32,40,3,11,1250,470,66,Limit,"Burger wrapped with egg, high calories."
151,Hot Dog Bun,Fast Food,1 bun,430,48,16,19,2,9,1050,260,70,Limit,Processed meat and refined bun.
152,Nuggets,Fast Food,6 pieces,330,22,17,20,2,2,720,260,50,Limit,Processed fried chicken pieces.
153,French Fries,Fast Food,1 medium,420,54,5,20,5,1,520,650,75,Limit,"Fried potato, high glycemic carbohydrate."
154,Chicken Wrap,Fast Food,1 wrap,480,48,28,20,5,6,840,420,60,Moderate,Wrap with chicken and sauce.
155,Egg Sandwich,Snack,1 sandwich,360,38,16,16,3,5,620,260,65,Moderate,Bread-based meal with egg protein.
156,Tuna Sandwich,Snack,1 sandwich,390,40,22,15,3,5,720,300,65,Moderate,Bread-based tuna sandwich.
157,Chicken Pie,Snack,1 piece,460,42,16,26,3,5,650,290,65,Limit,Pastry with chicken filling.
158,Egg Tart,Snack,1 piece,230,26,5,12,1,14,160,90,65,Limit,Sweet pastry dessert.
159,Bubur Ayam,Porridge,1 bowl,390,58,20,9,2,2,850,320,75,Limit,Rice porridge can still raise blood sugar.
160,Bubur Lambuk,Porridge,1 bowl,420,56,18,14,3,3,900,350,74,Limit,Spiced rice porridge.
161,Plain Rice Porridge,Porridge,1 bowl,230,48,5,1,1,0,340,100,78,Limit,Soft rice porridge may digest quickly.
162,Chicken Mushroom Soup,Soup,1 bowl,260,18,24,10,3,4,680,400,35,Moderate,Protein soup with moderate carbs.
163,Vegetable Soup,Soup,1 bowl,150,22,6,4,6,7,520,520,35,Suitable,"Higher fiber, lower calorie soup."
164,Tom Yam Seafood Soup,Soup,1 bowl,280,18,30,10,3,7,1250,520,30,Moderate,High protein but may be high sodium.
165,ABC Soup,Soup,1 bowl,220,28,12,6,4,8,560,500,45,Moderate,Vegetable and meat soup with potato/carrot.
166,Seaweed Soup,Soup,1 bowl,120,8,10,5,2,2,780,260,20,Suitable,"Low calorie soup, watch sodium."
167,Miso Soup,Soup,1 bowl,90,8,6,3,1,2,700,180,20,Moderate,Low calorie but sodium can be high.
168,Mushroom Soup Cream,Soup,1 bowl,280,24,7,17,3,5,650,320,45,Moderate,Cream soup contains fat and carbs.
169,Banana,Fruit,1 medium,105,27,1,0,3,14,1,420,55,Moderate,Natural sugar fruit; control portion.
170,Apple,Fruit,1 medium,95,25,1,0,4,19,2,195,38,Suitable,Higher fiber fruit with lower GI.
171,Orange,Fruit,1 medium,80,19,1,0,3,14,1,240,40,Suitable,"Whole fruit option, avoid juice."
172,Watermelon,Fruit,1 bowl,90,23,2,0,1,18,2,170,72,Moderate,High GI but moderate carb per bowl.
173,Papaya,Fruit,1 bowl,70,18,1,0,3,11,8,260,60,Moderate,"Sweet fruit, portion control advised."
174,Mango,Fruit,1 bowl,120,30,1,0,3,24,2,280,60,Limit,Higher sugar tropical fruit.
175,Pineapple,Fruit,1 bowl,85,22,1,0,2,16,2,180,66,Moderate,Sweet tropical fruit.
176,Guava,Fruit,1 medium,68,14,3,1,5,9,2,420,30,Suitable,Higher fiber fruit option.
177,Dragon Fruit,Fruit,1 bowl,95,22,2,1,5,13,3,240,48,Suitable,"Moderate carbohydrate, contains fiber."
178,Durian,Fruit,3 seeds,270,35,4,13,4,20,5,440,65,Limit,Calorie dense and high sugar fruit.
179,Rambutan,Fruit,6 pieces,100,24,1,0,1,20,3,120,59,Limit,"Sweet fruit, easy to overeat."
180,Mangosteen,Fruit,4 pieces,110,27,1,0,2,21,7,130,55,Moderate,Sweet tropical fruit.
181,Starfruit,Fruit,1 medium,40,9,1,0,3,5,2,170,35,Suitable,Low calorie fruit.
182,Pear,Fruit,1 medium,100,27,1,0,5,17,2,210,38,Suitable,Higher fiber fruit.
183,Grapes,Fruit,1 bowl,105,27,1,0,1,23,3,290,59,Moderate,Higher sugar fruit.
184,Kiwi,Fruit,2 pieces,90,22,2,1,4,13,5,430,50,Suitable,Fiber-containing fruit.
185,Strawberries,Fruit,1 bowl,50,12,1,0,3,7,2,220,40,Suitable,Lower sugar fruit option.
186,Blueberries,Fruit,1 bowl,85,21,1,0,4,15,1,110,53,Suitable,Contains fiber and moderate sugar.
187,Coconut Flesh,Fruit,1 small serving,160,7,2,15,4,3,10,160,35,Moderate,Low carb but high fat.
188,Coconut Water,Drink,1 cup,60,15,1,0,0,12,60,430,54,Moderate,Contains natural sugar and potassium.
189,Teh Tarik,Drink,1 cup,180,28,5,5,0,24,90,180,65,Limit,"Sweet milk tea, high sugar."
190,Teh O Ais,Drink,1 cup,120,30,0,0,0,30,5,40,65,Limit,Sweet iced tea.
191,Teh O Kosong,Drink,1 cup,5,1,0,0,0,0,5,40,0,Suitable,Unsweetened tea.
192,Kopi O,Drink,1 cup,90,22,0,0,0,22,5,60,65,Limit,Black coffee with sugar.
193,Kopi O Kosong,Drink,1 cup,5,1,0,0,0,0,5,60,0,Suitable,Unsweetened black coffee.
194,Kopi Susu,Drink,1 cup,160,26,5,4,0,23,80,170,65,Limit,Milk coffee with sugar.
195,Milo Ais,Drink,1 cup,260,42,7,7,2,32,150,320,70,Limit,Sweet chocolate malt drink.
196,Milo Kosong,Drink,1 cup,110,15,5,3,2,5,120,250,45,Moderate,Less sugar version but still contains carbs.
197,Sirap Bandung,Drink,1 cup,240,46,5,4,0,44,90,180,70,Limit,Sweet rose syrup milk drink.
198,Air Sirap,Drink,1 cup,150,38,0,0,0,38,5,30,70,Limit,Sugar syrup drink.
199,Air Kelapa,Drink,1 cup,65,16,1,0,0,13,55,430,54,Moderate,Natural sugar drink.
200,Soy Milk Sweetened,Drink,1 cup,140,20,7,4,1,16,90,300,50,Moderate,Sweetened soy drink.
201,Soy Milk Unsweetened,Drink,1 cup,90,6,8,4,2,2,80,300,30,Suitable,Lower sugar soy drink.
202,Lime Juice Sweetened,Drink,1 cup,120,30,0,0,0,28,10,80,65,Limit,Sweet lime drink.
203,Lime Juice No Sugar,Drink,1 cup,20,5,0,0,0,1,5,80,20,Suitable,Low calorie drink.
204,100 Plus,Drink,1 can,140,35,0,0,0,35,160,40,70,Limit,Sugary isotonic drink.
205,Cola,Drink,1 can,150,39,0,0,0,39,45,0,70,Limit,Sugary soft drink.
206,Diet Cola,Drink,1 can,2,0,0,0,0,0,45,0,0,Suitable,No sugar soft drink.
207,Fresh Orange Juice,Drink,1 cup,110,26,2,0,0,22,2,420,60,Limit,Fruit juice lacks whole fruit fiber.
208,Carrot Milk Juice,Drink,1 cup,220,38,6,5,3,28,120,420,60,Limit,Sweet blended drink.
209,Cendol,Dessert,1 bowl,420,70,6,14,3,48,180,320,75,Limit,Sweet dessert with coconut milk and palm sugar.
210,Ais Kacang,Dessert,1 bowl,390,76,8,7,5,52,160,380,75,Limit,Sweet shaved ice dessert.
211,Bubur Cha Cha,Dessert,1 bowl,430,72,5,15,4,40,160,450,76,Limit,Sweet coconut dessert with yam/sweet potato.
212,Pulut Hitam,Dessert,1 bowl,380,68,7,9,5,36,120,350,72,Limit,Black glutinous rice dessert.
213,Sago Gula Melaka,Dessert,1 bowl,360,70,3,8,1,44,90,180,78,Limit,Sago dessert with palm sugar.
214,Tau Fu Fa Sweet,Dessert,1 bowl,180,28,8,4,1,24,70,260,55,Limit,Soy pudding with syrup.
215,Tau Fu Fa Less Sugar,Dessert,1 bowl,120,14,8,4,1,9,60,250,45,Moderate,Lower sugar soy pudding.
216,Ice Cream Vanilla,Dessert,1 scoop,210,26,4,11,0,22,80,150,60,Limit,Sweet dairy dessert.
217,Chocolate Cake,Dessert,1 slice,420,58,6,19,3,38,320,220,70,Limit,High sugar and refined flour dessert.
218,Cheesecake,Dessert,1 slice,450,42,8,28,1,30,360,180,60,Limit,High calorie dessert.
219,Pandan Cake,Dessert,1 slice,280,42,5,10,1,24,220,120,70,Limit,Sweet sponge cake.
220,Kuih Bingka Ubi,Dessert,1 piece,260,44,3,8,3,22,150,240,72,Limit,Cassava-based sweet kuih.
221,Pulut Tai Tai,Dessert,2 pieces,300,56,5,7,2,20,120,140,76,Limit,Glutinous rice dessert.
222,Dodoll,Dessert,1 piece,180,35,1,4,1,28,70,90,75,Limit,Sticky sweet dessert.
223,Mooncake Lotus,Dessert,1 small piece,400,58,8,16,3,32,220,180,68,Limit,Dense sweet pastry dessert.
224,Grilled Chicken Salad,Western,1 bowl,350,18,35,16,7,6,520,650,35,Suitable,Protein-rich lower carb meal.
225,Caesar Salad Chicken,Western,1 bowl,480,24,34,28,5,5,780,560,40,Moderate,Salad with creamy dressing.
226,Spaghetti Bolognese,Western,1 plate,620,78,28,22,6,10,850,620,65,Limit,"Pasta meal, high carbohydrate."
227,Spaghetti Carbonara,Western,1 plate,760,72,25,40,4,5,950,430,64,Limit,"Creamy pasta, high fat and carbs."
228,Chicken Fried Rice Western,Western,1 plate,650,80,26,24,4,6,900,430,74,Limit,Fried rice variation.
229,Grilled Salmon,Western,1 serving,420,8,40,26,2,2,460,720,10,Suitable,Protein-rich fish meal.
230,Mashed Potato,Western,1 scoop,210,34,4,7,3,3,420,480,75,Limit,Potato-based side dish.
231,Baked Potato,Western,1 medium,180,41,4,0,4,2,20,900,78,Limit,High glycemic carbohydrate side.
232,Omelette Vegetable,Western,1 serving,250,8,18,17,3,3,420,350,15,Suitable,Low carb egg meal.
233,Chicken Soup with Bread,Western,1 serving,430,48,26,14,4,5,820,420,60,Moderate,Soup meal with bread.
234,Tuna Salad,Western,1 bowl,300,12,32,14,5,4,620,450,25,Suitable,Protein-rich lower carb salad.
235,Beef Steak,Western,1 serving,560,10,45,38,2,3,700,760,10,Moderate,High protein and fat meal.
