kb_id,chunk_type,title,base_food_name,aliases,category,meal_time,diet_tags,health_tags,budget_myr_per_serving,calories,carbohydrates_g,protein_g,fat_g,fibre_g,sugar_g,sodium_mg,potassium_mg,phosphorus_mg_estimated,iron_mg_estimated,glycemic_index,halal,vegan,lactose_free,soy_free,nut_free,coconut_free,shellfish_free,recommendation,avoid_reason,modifications,cheaper_alternatives,meal_plan_notes,rag_text,source,confidence
kb_00011,food_item,Food facts - Nasi Tomato,Nasi Tomato,,Rice Dish,,"halal, Malaysian, general food","high carbohydrate, moderate protein, very high sodium, high potassium, moderate phosphorus, avoid or occasional, limit or modify, limit for CKD unless clinician approves, low purine choice, not a main iron source",6.5,640.0,80.0,17.0,24.0,3.0,9.0,850.0,390.0,221.0,0.7,73.0,yes,yes,yes,yes,yes,yes,yes,avoid or occasional,,Tomato rice often served with curry or chicken.,,,"Food item: Nasi Tomato. Aliases: Nasi Tomato. Category: Rice Dish. Serving: 1 plate. Estimated nutrition: 640 kcal, 80.0 g carbs, 17.0 g protein, 24.0 g fat, 3.0 g fibre, 9.0 g sugar, 850 mg sodium, 390 mg potassium, estimated 221 mg phosphorus, estimated 0.7 mg iron, GI 73.0. Suitability flags: halal yes, vegan yes, lactose-free yes, soy-free yes, nut-free yes, coconut-free yes, shellfish-free yes. Diet/health tags: high carbohydrate, moderate protein, very high sodium, high potassium, moderate phosphorus, avoid or occasional, limit or modify, limit for CKD unless clinician approves, low purine choice, not a main iron source. Practical advice: Tomato rice often served with curry or chicken.",generated prototype KB based on uploaded food data and MDG principles,prototype_estimate
kb_00012,food_item,Food facts - Nasi Hujan Panas,Nasi Hujan Panas,,Rice Dish,,"halal, Malaysian, general food","high carbohydrate, moderate protein, very high sodium, high potassium, moderate phosphorus, avoid or occasional, limit or modify, limit for CKD unless clinician approves, low purine choice, not a main iron source",6.5,610.0,78.0,15.0,22.0,3.0,5.0,720.0,330.0,195.0,0.7,74.0,yes,yes,yes,yes,yes,yes,yes,avoid or occasional,,Colorful rice dish usually high in refined carbohydrates.,,,"Food item: Nasi Hujan Panas. Aliases: Nasi Hujan Panas. Category: Rice Dish. Serving: 1 plate. Estimated nutrition: 610 kcal, 78.0 g carbs, 15.0 g protein, 22.0 g fat, 3.0 g fibre, 5.0 g sugar, 720 mg sodium, 330 mg potassium, estimated 195 mg phosphorus, estimated 0.7 mg iron, GI 74.0. Suitability flags: halal yes, vegan yes, lactose-free yes, soy-free yes, nut-free yes, coconut-free yes, shellfish-free yes. Diet/health tags: high carbohydrate, moderate protein, very high sodium, high potassium, moderate phosphorus, avoid or occasional, limit or modify, limit for CKD unless clinician approves, low purine choice, not a main iron source. Practical advice: Colorful rice dish usually high in refined carbohydrates.",generated prototype KB based on uploaded food data and MDG principles,prototype_estimate
kb_00013,food_item,Food facts - Nasi Ulam,Nasi Ulam,,Rice Dish,,"halal, Malaysian, general food","high carbohydrate, moderate protein, high sodium, high potassium, moderate phosphorus, avoid or occasional, limit or modify, limit for CKD unless clinician approves, low purine choice, not a main iron source",6.5,480.0,60.0,14.0,14.0,7.0,4.0,520.0,520.0,182.0,0.7,68.0,yes,yes,yes,yes,yes,yes,yes,avoid or occasional,,"Rice with herbs, comparatively higher fiber.",,,"Food item: Nasi Ulam. Aliases: Nasi Ulam. Category: Rice Dish. Serving: 1 plate. Estimated nutrition: 480 kcal, 60.0 g carbs, 14.0 g protein, 14.0 g fat, 7.0 g fibre, 4.0 g sugar, 520 mg sodium, 520 mg potassium, estimated 182 mg phosphorus, estimated 0.7 mg iron, GI 68.0. Suitability flags: halal yes, vegan yes, lactose-free yes, soy-free yes, nut-free yes, coconut-free yes, shellfish-free yes. Diet/health tags: high carbohydrate, moderate protein, high sodium, high potassium, moderate phosphorus, avoid or occasional, limit or modify, limit for CKD unless clinician approves, low purine choice, not a main iron source. Practical advice: Rice with herbs, comparatively higher fiber.",generated prototype KB based on uploaded food data and MDG principles,prototype_estimate
kb_00014,food_item,Food facts - Nasi Campur Ikan Bakar,Nasi Campur Ikan Bakar,,Rice Dish,,"halal, Malaysian, general food","high carbohydrate, high protein, very high sodium, high potassium, high phosphorus, avoid or occasional, limit or modify, limit for CKD unless clinician approves, low purine choice, not a main iron source",6.5,590.0,70.0,32.0,18.0,5.0,5.0,840.0,620.0,416.0,1.3,71.0,yes,no,yes,yes,yes,yes,yes,avoid or occasional,,Rice with grilled fish and vegetables.,,,"Food item: Nasi Campur Ikan Bakar. Aliases: Nasi Campur Ikan Bakar. Category: Rice Dish. Serving: 1 plate. Estimated nutrition: 590 kcal, 70.0 g carbs, 32.0 g protein, 18.0 g fat, 5.0 g fibre, 5.0 g sugar, 840 mg sodium, 620 mg potassium, estimated 416 mg phosphorus, estimated 1.3 mg iron, GI 71.0. Suitability flags: halal yes, vegan no, lactose-free yes, soy-free yes, nut-free yes, coconut-free yes, shellfish-free yes. Diet/health tags: high carbohydrate, high protein, very high sodium, high potassium, high phosphorus, avoid or occasional, limit or modify, limit for CKD unless clinician approves, low purine choice, not a main iron source. Practical advice: Rice with grilled fish and vegetables.",generated prototype KB based on uploaded food data and MDG principles,prototype_estimate
kb_00015,food_item,Food facts - Nasi Paprik Ayam,Nasi Paprik Ayam,,Rice Dish,,"halal, Malaysian, general food","high carbohydrate, high protein, very high sodium, high potassium, high phosphorus, avoid or occasional, limit or modify, limit for CKD unless clinician approves, low purine choice, not a main iron source",6.5,670.0,78.0,30.0,24.0,5.0,10.0,1150.0,540.0,390.0,1.1,73.0,yes,no,yes,yes,yes,yes,yes,avoid or occasional,,"Rice with saucy chicken stir-fry, often salty.",,,"Food item: Nasi Paprik Ayam. Aliases: Nasi Paprik Ayam. Category: Rice Dish. Serving: 1 plate. Estimated nutrition: 670 kcal, 78.0 g carbs, 30.0 g protein, 24.0 g fat, 5.0 g fibre, 10.0 g sugar, 1150 mg sodium, 540 mg potassium, estimated 390 mg phosphorus, estimated 1.1 mg iron, GI 73.0. Suitability flags: halal yes, vegan no, lactose-free yes, soy-free yes, nut-free yes, coconut-free yes, shellfish-free yes. Diet/health tags: high carbohydrate, high protein, very high sodium, high potassium, high phosphorus, avoid or occasional, limit or modify, limit for CKD unless clinician approves, low purine choice, not a main iron source. Practical advice: Rice with saucy chicken stir-fry, often salty.",generated prototype KB based on uploaded food data and MDG principles,prototype_estimate
kb_00016,food_item,Food facts - Nasi Daging Merah,Nasi Daging Merah,,Rice Dish,,"halal, Malaysian, general food","high carbohydrate, high protein, very high sodium, high potassium, high phosphorus, avoid or occasional, limit or modify, limit for CKD unless clinician approves, limit for gout due to purine risk, iron supportive",6.5,730.0,82.0,34.0,28.0,4.0,12.0,1180.0,560.0,442.0,2.8,74.0,yes,no,yes,yes,yes,yes,yes,avoid or occasional,,Rice with sweet-spicy beef sauce.,,,"Food item: Nasi Daging Merah. Aliases: Nasi Daging Merah. Category: Rice Dish. Serving: 1 plate. Estimated nutrition: 730 kcal, 82.0 g carbs, 34.0 g protein, 28.0 g fat, 4.0 g fibre, 12.0 g sugar, 1180 mg sodium, 560 mg potassium, estimated 442 mg phosphorus, estimated 2.8 mg iron, GI 74.0. Suitability flags: halal yes, vegan no, lactose-free yes, soy-free yes, nut-free yes, coconut-free yes, shellfish-free yes. Diet/health tags: high carbohydrate, high protein, very high sodium, high potassium, high phosphorus, avoid or occasional, limit or modify, limit for CKD unless clinician approves, limit for gout due to purine risk, iron supportive. Practical advice: Rice with sweet-spicy beef sauce.",generated prototype KB based on uploaded food data and MDG principles,prototype_estimate
kb_00017,food_item,Food facts - Nasi Kukus Ayam Berempah,Nasi Kukus Ayam Berempah,,Rice Dish,,"halal, Malaysian, general food","high carbohydrate, high protein, very high sodium, high potassium, high phosphorus, avoid or occasional, limit or modify, limit for CKD unless clinician approves, low purine choice, not a main iron source",6.5,700.0,80.0,31.0,28.0,4.0,6.0,1050.0,500.0,403.0,1.1,74.0,yes,no,yes,yes,yes,yes,yes,avoid or occasional,,Steamed rice with fried spiced chicken.,,,"Food item: Nasi Kukus Ayam Berempah. Aliases: Nasi Kukus Ayam Berempah. Category: Rice Dish. Serving: 1 plate. Estimated nutrition: 700 kcal, 80.0 g carbs, 31.0 g protein, 28.0 g fat, 4.0 g fibre, 6.0 g sugar, 1050 mg sodium, 500 mg potassium, estimated 403 mg phosphorus, estimated 1.1 mg iron, GI 74.0. Suitability flags: halal yes, vegan no, lactose-free yes, soy-free yes, nut-free yes, coconut-free yes, shellfish-free yes. Diet/health tags: high carbohydrate, high protein, very high sodium, high potassium, high phosphorus, avoid or occasional, limit or modify, limit for CKD unless clinician approves, low purine choice, not a main iron source. Practical advice: Steamed rice with fried spiced chicken.",generated prototype KB based on uploaded food data and MDG principles,prototype_estimate
kb_00018,food_item,Food facts - Nasi Berlauk Ikan,Nasi Berlauk Ikan,,Rice Dish,,"halal, Malaysian, general food","high carbohydrate, high protein, very high sodium, high potassium, high phosphorus, avoid or occasional, limit or modify, limit for CKD unless clinician approves, low purine choice, not a main iron source",6.5,560.0,66.0,28.0,18.0,5.0,5.0,780.0,600.0,364.0,1.3,70.0,yes,no,yes,yes,yes,yes,yes,avoid or occasional,,Rice with fish and curry gravy.,,,"Food item: Nasi Berlauk Ikan. Aliases: Nasi Berlauk Ikan. Category: Rice Dish. Serving: 1 plate. Estimated nutrition: 560 kcal, 66.0 g carbs, 28.0 g protein, 18.0 g fat, 5.0 g fibre, 5.0 g sugar, 780 mg sodium, 600 mg potassium, estimated 364 mg phosphorus, estimated 1.3 mg iron, GI 70.0. Suitability flags: halal yes, vegan no, lactose-free yes, soy-free yes, nut-free yes, coconut-free yes, shellfish-free yes. Diet/health tags: high carbohydrate, high protein, very high sodium, high potassium, high phosphorus, avoid or occasional, limit or modify, limit for CKD unless clinician approves, low purine choice, not a main iron source. Practical advice: Rice with fish and curry gravy.",generated prototype KB based on uploaded food data and MDG principles,prototype_estimate
kb_00019,food_item,Food facts - Nasi Putih,Nasi Putih,,Rice Dish,,"halal, Malaysian, general food","high carbohydrate, low protein, low sodium, low potassium, low phosphorus, avoid or occasional, better choice, better choice, low purine choice, not a main iron source",0.6,260.0,57.0,5.0,1.0,1.0,0.0,5.0,55.0,65.0,0.7,73.0,yes,yes,yes,yes,yes,yes,yes,avoid or occasional,,Plain white rice is high in fast-digesting carbohydrate.,,,"Food item: Nasi Putih. Aliases: Nasi Putih. Category: Rice Dish. Serving: 1 bowl. Estimated nutrition: 260 kcal, 57.0 g carbs, 5.0 g protein, 1.0 g fat, 1.0 g fibre, 0.0 g sugar, 5 mg sodium, 55 mg potassium, estimated 65 mg phosphorus, estimated 0.7 mg iron, GI 73.0. Suitability flags: halal yes, vegan yes, lactose-free yes, soy-free yes, nut-free yes, coconut-free yes, shellfish-free yes. Diet/health tags: high carbohydrate, low protein, low sodium, low potassium, low phosphorus, avoid or occasional, better choice, better choice, low purine choice, not a main iron source. Practical advice: Plain white rice is high in fast-digesting carbohydrate.",generated prototype KB based on uploaded food data and MDG principles,prototype_estimate
kb_00020,food_item,Food facts - Brown Rice,Brown Rice,,Rice Dish,,"halal, Malaysian, general food","high carbohydrate, low protein, low sodium, low potassium, low phosphorus, avoid or occasional, better choice, better choice, low purine choice, not a main iron source",6.5,230.0,48.0,5.0,2.0,4.0,1.0,10.0,85.0,65.0,0.7,55.0,yes,yes,yes,yes,yes,yes,yes,avoid or occasional,,Higher fiber option compared with white rice.,,,"Food item: Brown Rice. Aliases: Brown Rice. Category: Rice Dish. Serving: 1 bowl. Estimated nutrition: 230 kcal, 48.0 g carbs, 5.0 g protein, 2.0 g fat, 4.0 g fibre, 1.0 g sugar, 10 mg sodium, 85 mg potassium, estimated 65 mg phosphorus, estimated 0.7 mg iron, GI 55.0. Suitability flags: halal yes, vegan yes, lactose-free yes, soy-free yes, nut-free yes, coconut-free yes, shellfish-free yes. Diet/health tags: high carbohydrate, low protein, low sodium, low potassium, low phosphorus, avoid or occasional, better choice, better choice, low purine choice, not a main iron source. Practical advice: Higher fiber option compared with white rice.",generated prototype KB based on uploaded food data and MDG principles,prototype_estimate
kb_00021,food_item,Food facts - Mee Goreng Mamak,Mee Goreng Mamak,,Noodle Dish,,"halal, Malaysian, general food","high carbohydrate, high protein, very high sodium, high potassium, high phosphorus, avoid or occasional, limit or modify, limit for CKD unless clinician approves, low purine choice, not a main iron source",6.5,660.0,86.0,22.0,24.0,5.0,10.0,1250.0,460.0,286.0,0.7,72.0,yes,yes,yes,yes,yes,yes,yes,avoid or occasional,,Fried noodles with sweet and salty sauce.,,,"Food item: Mee Goreng Mamak. Aliases: Mee Goreng Mamak. Category: Noodle Dish. Serving: 1 plate. Estimated nutrition: 660 kcal, 86.0 g carbs, 22.0 g protein, 24.0 g fat, 5.0 g fibre, 10.0 g sugar, 1250 mg sodium, 460 mg potassium, estimated 286 mg phosphorus, estimated 0.7 mg iron, GI 72.0. Suitability flags: halal yes, vegan yes, lactose-free yes, soy-free yes, nut-free yes, coconut-free yes, shellfish-free yes. Diet/health tags: high carbohydrate, high protein, very high sodium, high potassium, high phosphorus, avoid or occasional, limit or modify, limit for CKD unless clinician approves, low purine choice, not a main iron source. Practical advice: Fried noodles with sweet and salty sauce.",generated prototype KB based on uploaded food data and MDG principles,prototype_estimate
kb_00022,food_item,Food facts - Char Kuey Teow,Char Kuey Teow,,Noodle Dish,,"halal, Malaysian, general food","high carbohydrate, high protein, very high sodium, high potassium, high phosphorus, avoid or occasional, limit or modify, limit for CKD unless clinician approves, low purine choice, not a main iron source",7.5,740.0,78.0,24.0,36.0,4.0,7.0,1150.0,430.0,312.0,0.7,72.0,yes,yes,yes,yes,yes,yes,yes,avoid or occasional,,High calorie fried flat noodle dish.,,,"Food item: Char Kuey Teow. Aliases: Char Kuey Teow. Category: Noodle Dish. Serving: 1 plate. Estimated nutrition: 740 kcal, 78.0 g carbs, 24.0 g protein, 36.0 g fat, 4.0 g fibre, 7.0 g sugar, 1150 mg sodium, 430 mg potassium, estimated 312 mg phosphorus, estimated 0.7 mg iron, GI 72.0. Suitability flags: halal yes, vegan yes, lactose-free yes, soy-free yes, nut-free yes, coconut-free yes, shellfish-free yes. Diet/health tags: high carbohydrate, high protein, very high sodium, high potassium, high phosphorus, avoid or occasional, limit or modify, limit for CKD unless clinician approves, low purine choice, not a main iron source. Practical advice: High calorie fried flat noodle dish.",generated prototype KB based on uploaded food data and MDG principles,prototype_estimate
kb_00023,food_item,Food facts - Kuey Teow Soup,Kuey Teow Soup,,Noodle Dish,,"halal, Malaysian, general food","high carbohydrate, moderate protein, very high sodium, high potassium, moderate phosphorus, avoid or occasional, limit or modify, limit for CKD unless clinician approves, low purine choice, not a main iron source",6.5,430.0,62.0,18.0,10.0,3.0,4.0,900.0,350.0,234.0,0.7,70.0,yes,yes,yes,yes,yes,yes,yes,avoid or occasional,,Soup noodle with lower fat than fried version.,,,"Food item: Kuey Teow Soup. Aliases: Kuey Teow Soup. Category: Noodle Dish. Serving: 1 bowl. Estimated nutrition: 430 kcal, 62.0 g carbs, 18.0 g protein, 10.0 g fat, 3.0 g fibre, 4.0 g sugar, 900 mg sodium, 350 mg potassium, estimated 234 mg phosphorus, estimated 0.7 mg iron, GI 70.0. Suitability flags: halal yes, vegan yes, lactose-free yes, soy-free yes, nut-free yes, coconut-free yes, shellfish-free yes. Diet/health tags: high carbohydrate, moderate protein, very high sodium, high potassium, moderate phosphorus, avoid or occasional, limit or modify, limit for CKD unless clinician approves, low purine choice, not a main iron source. Practical advice: Soup noodle with lower fat than fried version.",generated prototype KB based on uploaded food data and MDG principles,prototype_estimate
